"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\Block\OneDrive\Desktop\PluginDevelopment\dailyrewards\src\main\java\com\dailyrewards\commands\daily.java", "Java", 36, 0, -2, 34
"c:\Users\Block\OneDrive\Desktop\PluginDevelopment\dailyrewards\src\main\java\com\dailyrewards\data\dailyData.java", "Java", 15, 0, 1, 16
"Total", "-", 51, 0, -1, 50
