"filename", "language", "YAML", "Java", "comment", "blank", "total"
"c:\Users\Block\OneDrive\Desktop\PluginDevelopment\dailyrewards\src\main\java\com\dailyrewards\DailyRewards.java", "Java", 0, 19, 1, 8, 28
"c:\Users\Block\OneDrive\Desktop\PluginDevelopment\dailyrewards\src\main\java\com\dailyrewards\commands\daily.java", "Java", 0, 33, 0, 8, 41
"c:\Users\Block\OneDrive\Desktop\PluginDevelopment\dailyrewards\src\main\java\com\dailyrewards\data\dailyData.java", "Java", 0, 51, 0, 10, 61
"c:\Users\Block\OneDrive\Desktop\PluginDevelopment\dailyrewards\src\main\java\com\dailyrewards\data\dailyRewards.java", "Java", 0, 72, 0, 14, 86
"c:\Users\Block\OneDrive\Desktop\PluginDevelopment\dailyrewards\src\main\resources\plugin.yml", "YAML", 12, 0, 0, 0, 12
"Total", "-", 12, 175, 1, 40, 228
